,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_level
2217,Nevada,No,Premium,College,Employed,M,Suburban,Divorced,Personal,Offer2,Call Center,Four-Door Car,Large,3
2218,California,Yes,Basic,College,Retired,M,Suburban,Single,Corporate,Offer1,Agent,Two-Door Car,Medsize,2
2219,Arizona,No,Extended,College,Medical Leave,F,Rural,Divorced,Corporate,Offer1,Branch,SUV,Medsize,2
2220,California,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer1,Branch,Two-Door Car,Small,1
2221,California,No,Basic,College,Employed,M,Suburban,Single,Personal,Offer4,Call Center,Four-Door Car,Small,3
2222,Washington,No,Extended,Master,Retired,M,Suburban,Married,Corporate,Offer3,Web,Four-Door Car,Medsize,1
2223,Washington,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer1,Agent,Two-Door Car,Medsize,3
2224,Nevada,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,Offer1,Branch,SUV,Medsize,3
2225,Arizona,Yes,Premium,High School or Below,Employed,M,Suburban,Divorced,Personal,Offer1,Agent,Luxury SUV,Medsize,2
2226,California,No,Extended,High School or Below,Unemployed,M,Suburban,Divorced,Personal,Offer2,Agent,Four-Door Car,Medsize,3
2227,California,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Two-Door Car,Medsize,2
2228,California,No,Extended,College,Employed,M,Rural,Single,Personal,Offer4,Call Center,Two-Door Car,Medsize,1
2229,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal,Offer4,Call Center,Luxury SUV,Medsize,2
2230,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Corporate,Offer1,Web,Luxury SUV,Medsize,3
2231,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2
2232,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Corporate,Offer4,Call Center,SUV,Medsize,1
2233,Nevada,No,Extended,High School or Below,Employed,F,Rural,Married,Special,Offer2,Branch,Four-Door Car,Medsize,2
2234,Nevada,Yes,Extended,College,Employed,M,Rural,Married,Personal,Offer2,Agent,Sports Car,Medsize,3
2235,California,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal,Offer4,Branch,Four-Door Car,Small,3
2236,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer3,Agent,Four-Door Car,Medsize,2
2237,Oregon,No,Premium,Bachelor,Unemployed,F,Rural,Married,Corporate,Offer2,Branch,SUV,Small,3
2238,California,No,Basic,Bachelor,Employed,M,Urban,Married,Personal,Offer2,Branch,SUV,Large,1
2239,Nevada,No,Extended,High School or Below,Employed,M,Rural,Divorced,Corporate,Offer1,Agent,Four-Door Car,Medsize,1
2240,Oregon,No,Extended,College,Unemployed,F,Suburban,Single,Personal,Offer2,Agent,SUV,Medsize,1
2241,Washington,Yes,Basic,High School or Below,Employed,F,Rural,Single,Corporate,Offer2,Agent,Four-Door Car,Medsize,3
2242,Arizona,No,Basic,College,Unemployed,F,Suburban,Married,Personal,Offer1,Web,Four-Door Car,Small,1
2243,Arizona,No,Basic,College,Employed,M,Suburban,Married,Corporate,Offer3,Agent,Four-Door Car,Medsize,3
2244,Washington,No,Extended,College,Employed,F,Urban,Single,Personal,Offer1,Agent,SUV,Medsize,2
2245,Arizona,No,Extended,College,Unemployed,F,Suburban,Married,Personal,Offer1,Agent,Two-Door Car,Medsize,3
2246,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Personal,Offer3,Agent,Four-Door Car,Medsize,1
2247,California,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,1
2248,Arizona,No,Extended,College,Unemployed,F,Suburban,Single,Personal,Offer3,Branch,SUV,Medsize,2
2249,Oregon,No,Premium,College,Unemployed,M,Suburban,Single,Personal,Offer1,Branch,Four-Door Car,Small,3
2250,Arizona,No,Basic,High School or Below,Medical Leave,F,Urban,Married,Corporate,Offer1,Agent,Four-Door Car,Medsize,3
2251,Arizona,No,Basic,College,Employed,M,Suburban,Single,Personal,Offer1,Branch,Four-Door Car,Medsize,3
2252,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2
2253,California,No,Extended,College,Employed,F,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,1
2254,Nevada,No,Extended,College,Employed,M,Suburban,Single,Corporate,Offer1,Agent,Four-Door Car,Medsize,3
2255,California,No,Basic,Doctor,Employed,M,Rural,Divorced,Corporate,Offer1,Web,Four-Door Car,Medsize,3
2256,Arizona,No,Extended,Bachelor,Employed,M,Suburban,Divorced,Personal,Offer2,Branch,Four-Door Car,Medsize,2
2257,Arizona,No,Basic,Doctor,Employed,M,Suburban,Married,Personal,Offer4,Branch,Four-Door Car,Medsize,3
2258,Oregon,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate,Offer1,Branch,Four-Door Car,Medsize,1
2259,Washington,No,Basic,Bachelor,Disabled,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2
2260,Oregon,Yes,Extended,College,Medical Leave,M,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Small,2
2261,California,Yes,Extended,Bachelor,Employed,F,Suburban,Divorced,Personal,Offer1,Agent,Luxury SUV,Medsize,1
2262,California,No,Basic,College,Employed,M,Urban,Married,Personal,Offer3,Branch,SUV,Medsize,3
2263,Oregon,No,Premium,College,Disabled,F,Suburban,Married,Personal,Offer3,Call Center,Two-Door Car,Medsize,1
2264,Oregon,No,Basic,Master,Employed,M,Rural,Married,Corporate,Offer1,Branch,SUV,Medsize,2
2265,Nevada,No,Basic,College,Disabled,F,Suburban,Married,Personal,Offer1,Branch,SUV,Small,2
2266,Oregon,No,Premium,College,Employed,M,Rural,Married,Personal,Offer2,Branch,SUV,Large,2
2267,Washington,No,Basic,Master,Employed,M,Rural,Married,Personal,Offer2,Web,Four-Door Car,Large,2
2268,Oregon,Yes,Basic,High School or Below,Employed,F,Urban,Married,Personal,Offer1,Agent,SUV,Medsize,3
2269,Nevada,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,Offer4,Call Center,Four-Door Car,Medsize,1
2270,California,No,Extended,Bachelor,Unemployed,M,Suburban,Married,Personal,Offer1,Call Center,Four-Door Car,Medsize,2
2271,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer3,Branch,SUV,Medsize,3
2272,Arizona,Yes,Basic,Master,Employed,F,Rural,Single,Corporate,Offer2,Web,Four-Door Car,Medsize,2
2273,California,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer2,Branch,Two-Door Car,Medsize,3
2274,California,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal,Offer1,Agent,Two-Door Car,Medsize,2
2275,Washington,Yes,Basic,Master,Employed,F,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Small,1
2276,Oregon,No,Basic,College,Employed,F,Suburban,Married,Special,Offer4,Branch,Four-Door Car,Medsize,3
2277,Arizona,No,Basic,Bachelor,Unemployed,F,Rural,Married,Personal,Offer4,Web,Four-Door Car,Medsize,3
2278,Nevada,No,Basic,College,Unemployed,M,Suburban,Married,Personal,Offer3,Branch,Two-Door Car,Medsize,2
2279,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate,Offer1,Branch,Four-Door Car,Medsize,1
2280,Washington,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2
2281,Arizona,No,Premium,College,Employed,M,Urban,Married,Corporate,Offer1,Agent,Four-Door Car,Medsize,2
2282,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Personal,Offer1,Branch,Four-Door Car,Small,3
2283,Washington,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,3
2284,Nevada,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Corporate,Offer1,Call Center,Two-Door Car,Large,3
2285,Arizona,No,Basic,Master,Employed,F,Urban,Married,Personal,Offer1,Agent,SUV,Medsize,2
2286,Arizona,No,Extended,Bachelor,Employed,F,Suburban,Married,Special,Offer1,Branch,Luxury Car,Medsize,1
2287,Arizona,No,Basic,College,Employed,F,Suburban,Married,Personal,Offer4,Branch,SUV,Medsize,2
2288,Nevada,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal,Offer1,Agent,Four-Door Car,Small,3
2289,Nevada,No,Basic,Master,Employed,F,Suburban,Married,Personal,Offer1,Call Center,SUV,Large,3
2290,Oregon,No,Extended,College,Employed,M,Urban,Married,Personal,Offer3,Call Center,Two-Door Car,Medsize,1
2291,Oregon,No,Basic,College,Employed,F,Urban,Married,Corporate,Offer1,Agent,Four-Door Car,Medsize,3
2292,Arizona,No,Basic,Master,Employed,M,Urban,Married,Personal,Offer3,Agent,Luxury Car,Medsize,3
2293,California,No,Basic,Master,Employed,F,Suburban,Married,Personal,Offer4,Agent,Four-Door Car,Small,2
2294,Washington,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,Offer1,Branch,Luxury Car,Medsize,1
2295,Arizona,No,Extended,Master,Employed,M,Rural,Married,Personal,Offer4,Agent,SUV,Medsize,3
2296,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer4,Call Center,Four-Door Car,Medsize,3
2297,Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Small,2
2298,Oregon,No,Basic,High School or Below,Employed,M,Rural,Single,Personal,Offer3,Call Center,SUV,Medsize,2
2299,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Special,Offer4,Web,Four-Door Car,Medsize,3
2300,Arizona,Yes,Premium,High School or Below,Employed,F,Suburban,Married,Personal,Offer2,Call Center,Two-Door Car,Small,3
2301,California,No,Basic,College,Employed,F,Suburban,Married,Corporate,Offer1,Call Center,SUV,Medsize,3
2302,Arizona,No,Premium,College,Employed,F,Urban,Divorced,Personal,Offer1,Branch,Two-Door Car,Large,3
2303,California,No,Basic,College,Employed,F,Urban,Married,Personal,Offer1,Agent,SUV,Small,2
2304,California,No,Basic,College,Employed,F,Suburban,Divorced,Corporate,Offer1,Agent,SUV,Small,2
2305,California,No,Extended,High School or Below,Unemployed,M,Rural,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2
2306,Oregon,No,Basic,College,Employed,F,Suburban,Married,Personal,Offer3,Agent,Four-Door Car,Medsize,1
2307,Oregon,No,Extended,High School or Below,Employed,M,Rural,Married,Personal,Offer3,Web,Two-Door Car,Medsize,1
2308,Washington,No,Extended,Master,Employed,F,Rural,Married,Personal,Offer2,Call Center,SUV,Medsize,3
2309,Nevada,No,Extended,College,Unemployed,F,Urban,Married,Personal,Offer3,Branch,SUV,Small,3
2310,California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,Offer1,Web,Luxury Car,Small,3
2311,Oregon,No,Extended,Master,Unemployed,M,Suburban,Married,Personal,Offer1,Branch,SUV,Medsize,3
2312,Arizona,Yes,Extended,Master,Employed,M,Urban,Married,Personal,Offer3,Agent,Four-Door Car,Medsize,3
2313,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,3
2314,California,No,Basic,College,Employed,F,Suburban,Single,Personal,Offer3,Agent,Luxury Car,Small,3
2315,Nevada,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Small,3
2316,Oregon,Yes,Premium,College,Employed,M,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Medsize,3
2317,Arizona,No,Basic,Doctor,Unemployed,M,Suburban,Married,Personal,Offer3,Web,SUV,Medsize,3
2318,California,No,Extended,College,Unemployed,M,Suburban,Single,Personal,Offer3,Web,SUV,Medsize,3
2319,California,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,3
2320,Arizona,No,Basic,Master,Retired,M,Suburban,Divorced,Personal,Offer4,Web,Four-Door Car,Large,3
2321,Oregon,No,Extended,High School or Below,Employed,F,Rural,Divorced,Personal,Offer1,Agent,Four-Door Car,Medsize,3
2322,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate,Offer2,Agent,Four-Door Car,Medsize,3
2323,Arizona,No,Basic,High School or Below,Unemployed,F,Rural,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,1
2324,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,Offer4,Agent,Two-Door Car,Small,3
2325,California,No,Basic,Master,Employed,F,Urban,Married,Personal,Offer1,Call Center,Four-Door Car,Medsize,3
2326,Washington,No,Basic,College,Employed,F,Suburban,Married,Corporate,Offer1,Agent,Four-Door Car,Medsize,2
2327,California,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Medsize,1
2328,California,Yes,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal,Offer1,Agent,SUV,Large,1
2329,Oregon,No,Basic,College,Employed,M,Suburban,Married,Corporate,Offer1,Branch,Four-Door Car,Medsize,3
2330,California,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Corporate,Offer2,Agent,Two-Door Car,Small,3
2331,Oregon,No,Extended,College,Unemployed,M,Suburban,Single,Personal,Offer3,Call Center,SUV,Medsize,1
2332,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal,Offer1,Branch,Two-Door Car,Medsize,3
2333,Arizona,No,Basic,College,Unemployed,M,Suburban,Single,Special,Offer1,Agent,Four-Door Car,Medsize,2
2334,Nevada,No,Basic,High School or Below,Employed,M,Rural,Single,Corporate,Offer4,Agent,Four-Door Car,Medsize,1
2335,Arizona,No,Extended,Bachelor,Employed,F,Rural,Divorced,Personal,Offer1,Call Center,SUV,Medsize,2
2336,California,No,Extended,Doctor,Medical Leave,M,Suburban,Divorced,Personal,Offer3,Agent,Luxury SUV,Medsize,1
2337,Arizona,No,Basic,High School or Below,Employed,M,Rural,Married,Personal,Offer2,Agent,SUV,Medsize,2
2338,California,No,Premium,College,Employed,M,Suburban,Married,Corporate,Offer1,Branch,Sports Car,Medsize,1
2339,California,No,Basic,College,Employed,M,Urban,Married,Personal,Offer4,Branch,Four-Door Car,Medsize,2
2340,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal,Offer4,Web,Two-Door Car,Medsize,3
2341,Oregon,No,Extended,College,Unemployed,F,Suburban,Single,Corporate,Offer1,Branch,Four-Door Car,Small,3
2342,Oregon,No,Extended,Bachelor,Employed,M,Urban,Single,Personal,Offer1,Agent,SUV,Medsize,2
2343,Nevada,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Special,Offer3,Agent,Four-Door Car,Small,3
2344,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Married,Special,Offer2,Agent,Two-Door Car,Medsize,2
2345,Arizona,No,Extended,Bachelor,Employed,M,Rural,Single,Personal,Offer3,Web,Four-Door Car,Large,3
2346,Oregon,No,Basic,Bachelor,Medical Leave,M,Suburban,Single,Corporate,Offer3,Branch,Four-Door Car,Medsize,3
2347,Washington,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer2,Web,SUV,Small,3
2348,Oregon,No,Basic,College,Employed,F,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,2
2349,Nevada,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer1,Call Center,SUV,Large,3
2350,Oregon,No,Basic,College,Employed,F,Suburban,Married,Personal,Offer2,Call Center,Luxury Car,Large,3
2351,California,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer3,Call Center,Four-Door Car,Small,3
2352,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate,Offer1,Branch,SUV,Medsize,2
2353,California,No,Basic,College,Disabled,F,Suburban,Single,Personal,Offer2,Agent,Sports Car,Medsize,1
2354,Arizona,No,Basic,College,Employed,F,Rural,Married,Personal,Offer3,Branch,Four-Door Car,Small,3
2355,California,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal,Offer1,Branch,Four-Door Car,Medsize,3
2356,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal,Offer2,Call Center,SUV,Medsize,2
2357,Oregon,Yes,Extended,Bachelor,Retired,F,Suburban,Divorced,Personal,Offer2,Call Center,Four-Door Car,Medsize,3
2358,Oregon,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Small,3
2359,Washington,Yes,Premium,Bachelor,Employed,F,Suburban,Single,Personal,Offer1,Branch,Two-Door Car,Medsize,2
2360,Oregon,No,Extended,Bachelor,Employed,F,Urban,Married,Personal,Offer1,Branch,SUV,Medsize,2
2361,California,No,Basic,High School or Below,Employed,M,Rural,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2
2362,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal,Offer1,Call Center,Four-Door Car,Small,2
2363,California,Yes,Basic,College,Employed,M,Rural,Married,Corporate,Offer1,Branch,Four-Door Car,Medsize,2
2364,Washington,No,Premium,College,Employed,F,Rural,Married,Personal,Offer1,Agent,SUV,Medsize,1
2365,Oregon,No,Basic,Bachelor,Employed,M,Urban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,1
2366,Nevada,No,Extended,College,Employed,M,Suburban,Married,Corporate,Offer1,Agent,Four-Door Car,Medsize,3
2367,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,2
2368,Arizona,Yes,Extended,Bachelor,Retired,F,Suburban,Divorced,Personal,Offer2,Call Center,Four-Door Car,Medsize,3
2369,Nevada,No,Basic,College,Employed,F,Rural,Divorced,Personal,Offer1,Branch,Four-Door Car,Small,2
2370,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal,Offer4,Branch,Four-Door Car,Medsize,3
2371,Nevada,No,Basic,High School or Below,Disabled,F,Suburban,Married,Personal,Offer2,Branch,SUV,Large,1
2372,Oregon,No,Extended,College,Medical Leave,M,Suburban,Single,Personal,Offer1,Call Center,Two-Door Car,Medsize,3
2373,Arizona,Yes,Premium,Master,Disabled,F,Suburban,Divorced,Personal,Offer1,Web,SUV,Medsize,3
2374,Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,1
2375,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Small,2
2376,Arizona,No,Basic,High School or Below,Disabled,M,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Large,2
2377,Oregon,No,Extended,College,Employed,F,Rural,Married,Personal,Offer2,Web,Four-Door Car,Small,3
2378,Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal,Offer1,Branch,Four-Door Car,Medsize,2
2379,California,No,Extended,College,Employed,M,Suburban,Married,Personal,Offer2,Call Center,Four-Door Car,Small,3
2380,Oregon,No,Extended,Bachelor,Unemployed,M,Urban,Single,Personal,Offer1,Branch,Four-Door Car,Medsize,3
2381,Arizona,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Large,3
2382,Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,Offer2,Web,Two-Door Car,Medsize,1
2383,Arizona,No,Basic,Master,Employed,F,Urban,Divorced,Personal,Offer4,Web,SUV,Medsize,3
2384,Oregon,No,Extended,High School or Below,Employed,F,Suburban,Single,Personal,Offer1,Branch,Two-Door Car,Medsize,2
2385,Arizona,Yes,Basic,High School or Below,Retired,M,Suburban,Married,Personal,Offer1,Web,Sports Car,Medsize,1
2386,Oregon,No,Basic,College,Employed,F,Urban,Married,Personal,Offer2,Call Center,SUV,Medsize,3
2387,California,No,Basic,College,Employed,F,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Medsize,1
2388,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal,Offer1,Agent,Two-Door Car,Small,3
2389,Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,Offer3,Call Center,Two-Door Car,Small,3
2390,Arizona,No,Basic,College,Employed,M,Rural,Married,Corporate,Offer2,Branch,Four-Door Car,Medsize,3
2391,California,No,Premium,Bachelor,Employed,M,Urban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2
2392,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal,Offer2,Agent,Two-Door Car,Medsize,3
2393,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Small,3
2394,California,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal,Offer3,Agent,Four-Door Car,Medsize,2
2395,Nevada,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,Offer4,Branch,Four-Door Car,Small,2
2396,Arizona,No,Basic,College,Unemployed,F,Suburban,Married,Special,Offer3,Branch,SUV,Medsize,3
2397,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal,Offer4,Branch,Two-Door Car,Medsize,2
2398,California,No,Basic,Bachelor,Employed,M,Urban,Married,Personal,Offer1,Agent,SUV,Medsize,3
2399,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Special,Offer1,Call Center,Four-Door Car,Small,2
2400,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal,Offer1,Web,Sports Car,Medsize,2
2401,Oregon,No,Basic,High School or Below,Disabled,F,Urban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,1
2402,Nevada,No,Extended,Bachelor,Employed,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Large,3
2403,Arizona,No,Basic,Bachelor,Employed,F,Rural,Single,Personal,Offer1,Agent,SUV,Large,3
2404,Washington,No,Basic,Master,Employed,M,Suburban,Married,Personal,Offer3,Call Center,Two-Door Car,Small,2
2405,Oregon,No,Premium,Master,Employed,F,Suburban,Married,Personal,Offer3,Agent,Two-Door Car,Medsize,3
2406,Arizona,No,Extended,Master,Employed,M,Rural,Married,Personal,Offer4,Agent,Four-Door Car,Large,2
2407,California,No,Basic,College,Employed,M,Urban,Married,Personal,Offer2,Branch,Two-Door Car,Small,2
2408,California,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer2,Web,SUV,Medsize,3
2409,Oregon,No,Extended,Master,Disabled,M,Suburban,Divorced,Personal,Offer1,Web,Two-Door Car,Medsize,3
2410,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,Offer3,Web,Four-Door Car,Medsize,3
2411,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer3,Agent,Sports Car,Large,3
2412,Arizona,No,Basic,Bachelor,Disabled,M,Suburban,Married,Personal,Offer1,Call Center,Four-Door Car,Medsize,1
2413,Oregon,No,Basic,High School or Below,Employed,M,Rural,Married,Personal,Offer1,Call Center,Four-Door Car,Medsize,1
2414,California,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Corporate,Offer3,Agent,Four-Door Car,Small,3
2415,Washington,Yes,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate,Offer1,Call Center,Four-Door Car,Medsize,3
2416,Arizona,No,Premium,High School or Below,Unemployed,M,Suburban,Divorced,Corporate,Offer1,Agent,Four-Door Car,Small,2
2417,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal,Offer1,Branch,Four-Door Car,Medsize,2
2418,California,No,Basic,College,Employed,M,Rural,Married,Personal,Offer4,Agent,Four-Door Car,Small,2
2419,Arizona,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Small,2
2420,Arizona,No,Basic,College,Unemployed,M,Urban,Married,Personal,Offer1,Agent,Two-Door Car,Medsize,2
2421,Arizona,No,Basic,High School or Below,Employed,F,Rural,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,1
2422,Oregon,No,Premium,Bachelor,Unemployed,F,Rural,Married,Personal,Offer3,Branch,Four-Door Car,Medsize,3
2423,California,No,Extended,High School or Below,Employed,F,Rural,Married,Corporate,Offer2,Web,Sports Car,Medsize,3
2424,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Branch,Luxury Car,Medsize,3
2425,California,No,Basic,Bachelor,Employed,F,Urban,Married,Special,Offer1,Agent,Four-Door Car,Medsize,1
2426,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Corporate,Offer2,Agent,Four-Door Car,Small,1
2427,California,No,Basic,Master,Disabled,F,Suburban,Divorced,Corporate,Offer1,Call Center,Four-Door Car,Small,1
2428,Nevada,No,Extended,High School or Below,Employed,F,Suburban,Married,Corporate,Offer1,Web,Four-Door Car,Medsize,3
2429,Oregon,Yes,Extended,Bachelor,Medical Leave,F,Suburban,Married,Personal,Offer2,Agent,SUV,Small,1
2430,Arizona,No,Basic,College,Disabled,M,Suburban,Married,Corporate,Offer1,Agent,Two-Door Car,Large,3
2431,Nevada,No,Extended,Bachelor,Employed,M,Suburban,Married,Corporate,Offer2,Branch,Sports Car,Medsize,3
2432,Oregon,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal,Offer3,Agent,Four-Door Car,Medsize,3
2433,Oregon,No,Basic,High School or Below,Employed,F,Urban,Divorced,Personal,Offer1,Call Center,Two-Door Car,Medsize,2
2434,California,No,Basic,High School or Below,Employed,F,Rural,Divorced,Personal,Offer2,Branch,Four-Door Car,Medsize,1
2435,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Corporate,Offer2,Agent,Four-Door Car,Medsize,1
2436,California,No,Basic,College,Employed,F,Urban,Married,Personal,Offer2,Web,Two-Door Car,Medsize,2
2437,California,Yes,Extended,Doctor,Employed,F,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,3
2438,Washington,No,Basic,Master,Employed,M,Rural,Single,Personal,Offer4,Agent,Four-Door Car,Large,3
2439,Washington,No,Extended,High School or Below,Employed,F,Rural,Married,Special,Offer4,Branch,Two-Door Car,Medsize,2
2440,Nevada,No,Basic,Bachelor,Disabled,M,Suburban,Married,Personal,Offer3,Branch,Two-Door Car,Medsize,1
2441,Oregon,No,Premium,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer2,Branch,Four-Door Car,Medsize,2
2442,Arizona,No,Basic,College,Unemployed,F,Urban,Married,Personal,Offer2,Agent,Four-Door Car,Medsize,2
2443,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Small,1
2444,California,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal,Offer2,Branch,Two-Door Car,Medsize,2
2445,Oregon,No,Basic,Bachelor,Employed,M,Urban,Divorced,Personal,Offer1,Branch,Two-Door Car,Medsize,3
2446,Oregon,No,Extended,Bachelor,Employed,M,Rural,Married,Special,Offer2,Branch,Four-Door Car,Large,3
2447,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Offer4,Branch,Four-Door Car,Small,3
2448,California,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Offer3,Call Center,SUV,Medsize,2
2449,Arizona,Yes,Extended,Bachelor,Employed,F,Suburban,Single,Personal,Offer2,Agent,SUV,Medsize,1
2450,California,No,Basic,Bachelor,Employed,M,Urban,Married,Personal,Offer3,Agent,Two-Door Car,Medsize,3
2451,Washington,No,Basic,College,Employed,F,Suburban,Single,Personal,Offer1,Call Center,Four-Door Car,Small,1
2452,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,Offer1,Web,Luxury Car,Medsize,1
